Plot,Date,Count,Type
Plot #15 ,12/26/1990,0,H-(DELS)
Plot #15 ,12/27/1990,4,H-(DELS)
Plot #15 ,12/28/1990,0,H-(DELS)
Plot #15 ,12/29/1990,0,H-(DELS)
Plot #15 ,12/30/1990,1,H-(DELS)
Plot #15 ,12/31/1990,6,H-(DELS)
Plot #15 ,1/1/1991,1,H-(DELS)
Plot #15 ,1/2/1991,0,H-(DELS)
Plot #15 ,1/3/1991,0,H-(DELS)
Plot #15 ,1/4/1991,1,H-(DELS)
Plot #15 ,1/5/1991,0,H-(DELS)
Plot #15 ,1/6/1991,0,H-(DELS)
Plot #15 ,1/7/1991,0,H-(DELS)
Plot #15 ,1/8/1991,0,H-(DELS)
Plot #15 ,1/9/1991,0,H-(DELS)
Plot #15 ,1/10/1991,1,H-(DELS)
Plot #15 ,1/11/1991,2,H-(DELS)
Plot #15 ,1/12/1991,0,H-(DELS)
Plot #15 ,1/13/1991,1,H-(DELS)
Plot #15 ,1/14/1991,0,H-(DELS)
Plot #15 ,1/15/1991,0,H-(DELS)
Plot #15 ,1/16/1991,0,H-(DELS)
Plot #15 ,1/17/1991,0,H-(DELS)
Plot #15 ,1/18/1991,0,H-(DELS)
Plot #15 ,1/19/1991,1,H-(DELS)
Plot #15 ,1/20/1991,0,H-(DELS)
Plot #15 ,1/21/1991,18,H-(DELS)
Plot #15 ,1/22/1991,1,H-(DELS)
Plot #15 ,1/23/1991,0,H-(DELS)
Plot #15 ,1/24/1991,0,H-(DELS)
Plot #15 ,1/25/1991,0,H-(DELS)
Plot #15 ,1/26/1991,0,H-(DELS)
Plot #15 ,1/27/1991,0,H-(DELS)
Plot #15 ,1/28/1991,0,H-(DELS)
Plot #15 ,1/29/1991,0,H-(DELS)
Plot #15 ,1/30/1991,0,H-(DELS)
Plot #15 ,1/31/1991,0,H-(DELS)
Plot #15 ,2/1/1991,0,H-(DELS)
Plot #15 ,2/2/1991,0,H-(DELS)
Plot #15 ,2/3/1991,0,H-(DELS)
Plot #15 ,2/4/1991,0,H-(DELS)
Plot #15 ,2/5/1991,3,H-(DELS)
Plot #15 ,2/6/1991,0,H-(DELS)
Plot #15 ,2/7/1991,0,H-(DELS)
Plot #15 ,2/8/1991,0,H-(DELS)
Plot #15 ,2/9/1991,0,H-(DELS)
Plot #15 ,2/10/1991,0,H-(DELS)
Plot #15 ,2/11/1991,1,H-(DELS)
Plot #15 ,2/12/1991,0,H-(DELS)
Plot #15 ,2/13/1991,0,H-(DELS)
Plot #15 ,2/14/1991,2,H-(DELS)
Plot #15 ,2/15/1991,1,H-(DELS)
Plot #15 ,2/16/1991,1,H-(DELS)
Plot #15 ,2/17/1991,2,H-(DELS)
Plot #15 ,2/18/1991,0,H-(DELS)
Plot #15 ,2/19/1991,0,H-(DELS)
Plot #15 ,2/20/1991,0,H-(DELS)
Plot #15 ,2/21/1991,0,H-(DELS)
Plot #15 ,2/22/1991,0,H-(DELS)
Plot #15 ,2/23/1991,2,H-(DELS)
Plot #15 ,2/24/1991,0,H-(DELS)
Plot #15 ,2/25/1991,0,H-(DELS)
Plot #15 ,2/26/1991,1,H-(DELS)
Plot #15 ,2/27/1991,1,H-(DELS)
Plot #15 ,2/28/1991,1,H-(DELS)
Plot #15 ,3/1/1991,2,H-(DELS)
Plot #15 ,3/2/1991,0,H-(DELS)
Plot #15 ,3/3/1991,1,H-(DELS)
Plot #15 ,3/4/1991,0,H-(DELS)
Plot #15 ,3/5/1991,0,H-(DELS)
Plot #15 ,3/6/1991,0,H-(DELS)
Plot #15 ,3/7/1991,8,H-(DELS)
Plot #15 ,3/8/1991,0,H-(DELS)
Plot #15 ,3/9/1991,0,H-(DELS)
Plot #15 ,3/10/1991,0,H-(DELS)
Plot #15 ,3/11/1991,0,H-(DELS)
Plot #15 ,3/12/1991,0,H-(DELS)
Plot #15 ,3/13/1991,1,H-(DELS)
Plot #15 ,3/14/1991,0,H-(DELS)
Plot #15 ,3/15/1991,0,H-(DELS)
Plot #15 ,3/16/1991,0,H-(DELS)
Plot #15 ,3/17/1991,0,H-(DELS)
Plot #15 ,3/18/1991,0,H-(DELS)
Plot #15 ,3/19/1991,0,H-(DELS)
Plot #15 ,3/20/1991,0,H-(DELS)
Plot #15 ,3/21/1991,0,H-(DELS)
Plot #15 ,3/22/1991,0,H-(DELS)
Plot #15 ,3/23/1991,0,H-(DELS)
Plot #15 ,3/24/1991,0,H-(DELS)
Plot #15 ,3/25/1991,0,H-(DELS)
Plot #15 ,3/26/1991,1,H-(DELS)
Plot #15 ,3/27/1991,0,H-(DELS)
Plot #15 ,3/28/1991,1,H-(DELS)
