Plot,Date,Count,Type
Plot #15 ,8/8/1990,0,H-(DELS)
Plot #15 ,8/9/1990,0,H-(DELS)
Plot #15 ,8/10/1990,0,H-(DELS)
Plot #15 ,8/11/1990,0,H-(DELS)
Plot #15 ,8/12/1990,1,H-(DELS)
Plot #15 ,8/13/1990,0,H-(DELS)
Plot #15 ,8/14/1990,0,H-(DELS)
Plot #15 ,8/15/1990,0,H-(DELS)
Plot #15 ,8/16/1990,1,H-(DELS)
Plot #15 ,8/17/1990,0,H-(DELS)
Plot #15 ,8/18/1990,1,H-(DELS)
Plot #15 ,8/19/1990,0,H-(DELS)
Plot #15 ,8/20/1990,0,H-(DELS)
Plot #15 ,8/21/1990,0,H-(DELS)
Plot #15 ,8/22/1990,0,H-(DELS)
Plot #15 ,8/23/1990,0,H-(DELS)
Plot #15 ,8/24/1990,1,H-(DELS)
Plot #15 ,8/25/1990,2,H-(DELS)
Plot #15 ,8/26/1990,0,H-(DELS)
Plot #15 ,8/27/1990,0,H-(DELS)
Plot #15 ,8/28/1990,2,H-(DELS)
Plot #15 ,8/29/1990,1,H-(DELS)
Plot #15 ,8/30/1990,0,H-(DELS)
Plot #15 ,8/31/1990,2,H-(DELS)
Plot #15 ,9/1/1990,0,H-(DELS)
Plot #15 ,9/2/1990,0,H-(DELS)
Plot #15 ,9/3/1990,0,H-(DELS)
Plot #15 ,9/4/1990,0,H-(DELS)
Plot #15 ,9/5/1990,0,H-(DELS)
Plot #15 ,9/6/1990,0,H-(DELS)
Plot #15 ,9/7/1990,0,H-(DELS)
Plot #15 ,9/8/1990,1,H-(DELS)
Plot #15 ,9/9/1990,1,H-(DELS)
Plot #15 ,9/10/1990,0,H-(DELS)
Plot #15 ,9/11/1990,1,H-(DELS)
Plot #15 ,9/12/1990,1,H-(DELS)
Plot #15 ,9/13/1990,5,H-(DELS)
Plot #15 ,9/14/1990,1,H-(DELS)
Plot #15 ,9/15/1990,5,H-(DELS)
Plot #15 ,9/16/1990,5,H-(DELS)
Plot #15 ,9/17/1990,0,H-(DELS)
Plot #15 ,9/18/1990,1,H-(DELS)
Plot #15 ,9/19/1990,3,H-(DELS)
Plot #15 ,9/20/1990,1,H-(DELS)
Plot #15 ,9/21/1990,0,H-(DELS)
Plot #15 ,9/22/1990,3,H-(DELS)
Plot #15 ,9/23/1990,2,H-(DELS)
Plot #15 ,9/24/1990,0,H-(DELS)
Plot #15 ,9/25/1990,0,H-(DELS)
Plot #15 ,9/26/1990,0,H-(DELS)
Plot #15 ,9/27/1990,4,H-(DELS)
Plot #15 ,9/28/1990,0,H-(DELS)
Plot #15 ,9/29/1990,1,H-(DELS)
Plot #15 ,9/30/1990,27,H-(DELS)
Plot #15 ,10/1/1990,1,H-(DELS)
Plot #15 ,10/2/1990,6,H-(DELS)
Plot #15 ,10/3/1990,18,H-(DELS)
Plot #15 ,10/4/1990,25,H-(DELS)
Plot #15 ,10/5/1990,0,H-(DELS)
Plot #15 ,10/6/1990,0,H-(DELS)
Plot #15 ,10/7/1990,1,H-(DELS)
Plot #15 ,10/8/1990,10,H-(DELS)
Plot #15 ,10/9/1990,4,H-(DELS)
Plot #15 ,10/10/1990,0,H-(DELS)
Plot #15 ,10/11/1990,2,H-(DELS)
Plot #15 ,10/12/1990,0,H-(DELS)
Plot #15 ,10/13/1990,0,H-(DELS)
Plot #15 ,10/14/1990,1,H-(DELS)
Plot #15 ,10/15/1990,2,H-(DELS)
Plot #15 ,10/16/1990,0,H-(DELS)
Plot #15 ,10/17/1990,1,H-(DELS)
Plot #15 ,10/18/1990,2,H-(DELS)
Plot #15 ,10/19/1990,25,H-(DELS)
Plot #15 ,10/20/1990,1,H-(DELS)
Plot #15 ,10/21/1990,2,H-(DELS)
Plot #15 ,10/22/1990,1,H-(DELS)
Plot #15 ,10/23/1990,0,H-(DELS)
Plot #15 ,10/24/1990,3,H-(DELS)
Plot #15 ,10/25/1990,0,H-(DELS)
Plot #15 ,10/26/1990,1,H-(DELS)
Plot #15 ,10/27/1990,2,H-(DELS)
Plot #15 ,10/28/1990,0,H-(DELS)
Plot #15 ,10/29/1990,10,H-(DELS)
Plot #15 ,10/30/1990,1,H-(DELS)
Plot #15 ,10/31/1990,1,H-(DELS)
Plot #15 ,11/1/1990,0,H-(DELS)
Plot #15 ,11/2/1990,4,H-(DELS)
Plot #15 ,11/3/1990,0,H-(DELS)
Plot #15 ,11/4/1990,2,H-(DELS)
Plot #15 ,11/5/1990,0,H-(DELS)
Plot #15 ,11/6/1990,0,H-(DELS)
Plot #15 ,11/7/1990,1,H-(DELS)
Plot #15 ,11/8/1990,1,H-(DELS)
Plot #15 ,11/9/1990,0,H-(DELS)
Plot #15 ,11/10/1990,1,H-(DELS)
Plot #15 ,11/11/1990,0,H-(DELS)
Plot #15 ,11/12/1990,1,H-(DELS)
Plot #15 ,11/13/1990,1,H-(DELS)
Plot #15 ,11/14/1990,11,H-(DELS)
Plot #15 ,11/15/1990,7,H-(DELS)
Plot #15 ,11/16/1990,1,H-(DELS)
Plot #15 ,11/17/1990,3,H-(DELS)
Plot #15 ,11/18/1990,17,H-(DELS)
Plot #15 ,11/19/1990,4,H-(DELS)
Plot #15 ,11/20/1990,1,H-(DELS)
Plot #15 ,11/21/1990,0,H-(DELS)
Plot #15 ,11/22/1990,0,H-(DELS)
Plot #15 ,11/23/1990,3,H-(DELS)
Plot #15 ,11/24/1990,2,H-(DELS)
Plot #15 ,11/25/1990,1,H-(DELS)
Plot #15 ,11/26/1990,1,H-(DELS)
Plot #15 ,11/27/1990,2,H-(DELS)
Plot #15 ,11/28/1990,14,H-(DELS)
Plot #15 ,11/29/1990,0,H-(DELS)
Plot #15 ,11/30/1990,1,H-(DELS)
Plot #15 ,12/1/1990,5,H-(DELS)
Plot #15 ,12/2/1990,0,H-(DELS)
Plot #15 ,12/3/1990,0,H-(DELS)
Plot #15 ,12/4/1990,4,H-(DELS)
Plot #15 ,12/5/1990,0,H-(DELS)
Plot #15 ,12/6/1990,0,H-(DELS)
Plot #15 ,12/7/1990,4,H-(DELS)
Plot #15 ,12/8/1990,4,H-(DELS)
Plot #15 ,12/9/1990,1,H-(DELS)
Plot #15 ,12/10/1990,4,H-(DELS)
Plot #15 ,12/11/1990,0,H-(DELS)
Plot #15 ,12/12/1990,10,H-(DELS)
Plot #15 ,12/13/1990,1,H-(DELS)
Plot #15 ,12/14/1990,18,H-(DELS)
Plot #15 ,12/15/1990,3,H-(DELS)
Plot #15 ,12/16/1990,0,H-(DELS)
Plot #15 ,12/17/1990,1,H-(DELS)
Plot #15 ,12/18/1990,0,H-(DELS)
Plot #15 ,12/19/1990,1,H-(DELS)
Plot #15 ,12/20/1990,2,H-(DELS)
Plot #15 ,12/21/1990,1,H-(DELS)
Plot #15 ,12/22/1990,1,H-(DELS)
Plot #15 ,12/23/1990,0,H-(DELS)
Plot #15 ,12/24/1990,3,H-(DELS)
Plot #15 ,12/25/1990,2,H-(DELS)
